example_id,customer_text,gold_intent,verified
62,@AmazonHelp I have cancelled the order but still there is a delivery pick up date scheduled. How and why? Atleast deliver first then ask for pick up🙅. BTW my refund is yet to come for both the orders of same product. https://t.co/qNkSsjiITI,REFUND_RETURN,
63,@14249 you are SLACKING I ordered a book on Monday and primed it and it still isn’t here I want my money back,REFUND_RETURN,
64,"@AmazonHelp hi I'm returning 2 items, both can fit in one box, but I have 2 prepaid return sheets, one I don't need to print out and one I do, can I just use one of the sheets, both are same items",REFUND_RETURN,
65,@115850 it's been more than 5 days. Still waiting for refund https://t.co/PpHSRfrWYw,REFUND_RETURN,
66,@115850 A wrong product has been delivered to me.. on request to return it im asked that return will b verified by seller 1/2,REFUND_RETURN,
67,@115821 Your team were helpful when trying to problem solve but why ignore customers when goods are returned and a refund requested??,REFUND_RETURN,
68,@AmazonHelp I have received an opened bottle 🥃 which I am not happy to consume or put in the post for return should it leak. Any ideas?,REFUND_RETURN,
69,@AmazonHelp I request @115850 to refund immediately,REFUND_RETURN,
70,@115850 Poor service from Amazon I returned a product don't get refund yet they are not respond for it order id 408-9849914-4003522,REFUND_RETURN,
71,@118919 @AmazonHelp since more than 1 month I am struggling for my refund no help from customer service LET me know if I need to file complain against payment gateway,REFUND_RETURN,
72,@AmazonHelp why I am supposed to go through all the process just to return a defective phone in India.. Pathetic..,REFUND_RETURN,
73,"@115850 ""इतना बड़ा डब्बा मैं कैसे ले जाऊं?मैं कल आता हूं।"" Said the boy who came to pickup returned article. This happed twice &amp; yet no one came to pickup. Why don't you tell the details of item to be picked up? Plz take it back &amp; return my money",REFUND_RETURN,
74,@AmazonHelp sent an email enquiring when a code for wolfenstein dlc i ordered was. and they started a refund and have asked me to return the game...,REFUND_RETURN,
75,@120781 Amazon india is not refunding my money 15999 of Motorola g5s+. A month has passed I have talked to them almost 20 times. Their executives giving me fake assurance. whenever I call  a new executive picks up my call and in 3-5 days your refund will be initiated.,REFUND_RETURN,
76,"@AmazonHelp Hi DC. Looks like the return is to an Amazon Fulfillment Services in Saint Anne, IL. You are welcome to DM me if that is easier.",REFUND_RETURN,
77,@AmazonHelp Bank said refund would be denied for an account closed over 30 days. Going on 90 now. Bank refused the return &amp; now apparently you.,REFUND_RETURN,
78,Had a terrible experience with @115821. Received damaged UE megaboom speakers. Moreover the return procedure is being made too inconvenient.,REFUND_RETURN,
79,@115821 @AmazonHelp thanks for sending me a item that was returned.  Including the hand written note from the last customer 👀 https://t.co/xMJQgCQ4II,REFUND_RETURN,
80,@115821 @AmazonHelp @115821 why doesn’t  #amazonflex have a real cust service number? __email__ is useless!! This isn’t a refund. They keep saying they deposited the money but I don’t have it in my account. I contacted my bank I have nothing pending coming.,REFUND_RETURN,
81,@115821 very bad shopping experience on Amazon delivering same wrong product again and again and after that asking for cancellation of order,CANCELLATION,
82,@115850 Prime messed up my Diwali order. Did not deliver on time and inspite of my request to cust care it is now marked as cancelled.,CANCELLATION,
83,@115821 @115850 want to order Diwali gifts but my transactions keep getting cancelled,CANCELLATION,
84,Hey @115830 @115821 how come the cancel order page on the app doesn't load when everything else does? Very strange.,CANCELLATION,
85,@AmazonHelp if u understand my concern re-ship my cancelled order,CANCELLATION,
86,"@AmazonHelp thanks, but i tried this page before, because its a cancelled order it wont show up in this page. so im unsure as to what to do :( should i just contact the bank and get them to block the payment?",CANCELLATION,
87,FUCK @117795 i cancelled this shit 2 months ago an yall still charging me,CANCELLATION,
88,"@AmazonHelp if you could give me email or somethingSo i can identify myself, so you can fix my account and the cancelled orders on the bits @AmazonHelp",CANCELLATION,
89,@AmazonHelp Bastards..   Why you cancel order after taking money from customers!!  Using customers money without interest..  Shameful,CANCELLATION,
90,@AmazonHelp I cancelled the second and in matter of hours followed up with Amazon if I could get that too.  After that the res by reps has raised hell.,CANCELLATION,
91,@AmazonHelp why isn't my cancelled order not showing up in my orders or cancelled orders section?,CANCELLATION,
92,@AmazonHelp I ordered a PS4 Destiny 2 Bundle for $350 on Thurs morning and received a confirmation email.  It never shipped and now I received an email saying the order was cancelled.  I already ordered games and accessories and now I have no PS4?  Please help!,CANCELLATION,
93,"@AmazonHelp ‘By 17th’ is not what I paid for. It was ‘guaranteed’ delivery on 14th. Why has it been delayed and what compensation can you offer? I have obviously cancelled my other preorders with you, but are unable to cancel this one.",CANCELLATION,
94,@AmazonHelp Or maybe I should just cancel the stupid order because it doesn't look like you idiots plan to deliver it anytime soon.,CANCELLATION,
95,"@AmazonHelp @115850 
Ordered slipper got delayed by 4 days then it got cancelled. CC kept telling it will arrive next day.",CANCELLATION,
96,@AmazonHelp I don't want to 'reach out' I want to cancel my order and my payment reimbursed asap! I've sent instruction via site. Awful service!,CANCELLATION,
97,I placed an order for a signed Springer ball from @67802 on @115821 and found out this morning that it was cancelled,CANCELLATION,
98,@115850 can you tell me why my order get cancelled 402-9885493-7568327 https://t.co/7bd1wGBPYT,CANCELLATION,
99,@115821 @AmazonHelp @115830 y’all just lost me as a customer. Cancel cancel cancel.,CANCELLATION,
100,"@115850 Hi Amazon, I placed an order half n hour back, which i now want to cancel but I cant locate Cancel order option. Please help.",CANCELLATION,
101,@115850 @AmazonHelp  payment issue so call me urgently  9426890231 / 9687675505,PAYMENT_PROBLEM,
102,"@AmazonHelp I ordered some stuff,and it offered me prime shipping which I gladly accepted it.I check my bank statement today and they charge me almost $12.so I called and they say because I use the free one months ago,but when I was checking out it never told me I was ineligible for it",PAYMENT_PROBLEM,
103,@115830 2) history. My brother has the same charge on his Halifax account. Is there an issue with your system? What are these charges?,PAYMENT_PROBLEM,
104,Do not ship @115817 @UPSHelp I've had 3 packages in the span of a week that I've ordered from Amazon and paid one day shipping that have all been phantomly delayed with no explanation.  The worst company!!!!,PAYMENT_PROBLEM,
105,"@115821 @115850  @AmazonHelp Took Amazon India Prime membership,Since then every month 799 is being deducted from my credit card. #Refund",PAYMENT_PROBLEM,
106,"@AmazonHelp I've just signed up to the 30 day free Amazon prime trial, before this ends will I get an option to select monthly DDs over the full yearly one off payment? It didn't give any options when signing up.",PAYMENT_PROBLEM,
107,@115850 i  canselled my order within a day . i make the payment through credit card.in ths month money get dedcted totally cheating. https://t.co/KzlVrjatRQ,PAYMENT_PROBLEM,
108,@115850  Can your customer care team reach me now??? during your sale on no cost EMI conversion you have charged my card for more amount then product price. My number is 9686911186. Thanks,PAYMENT_PROBLEM,
109,@AmazonHelp I paid for ‘before 13.00’ delivery only to then be faced with this at 13:01 https://t.co/MBZoYJFpqJ,PAYMENT_PROBLEM,
110,@115850 You should keep the basic Prime for 499 only. Charge more if people want more features like Music etc.. that you have in the US,PAYMENT_PROBLEM,
111,@115850 you are cheater I paid rs499 fr prme nd payment was debited frm bank bt then i recieved a msg from @115850 tht order is canceled https://t.co/G7Y00Ba3qR,PAYMENT_PROBLEM,
112,@115850 Order# 405-0663107-0918745 placed on 16th october. sbi debit card used 10% cashback of rs.1300 not credited yet.,PAYMENT_PROBLEM,
113,Paid for one day shipping and it’s still not here I’m peeved!! @AmazonHelp https://t.co/QrPs8QlGP5,PAYMENT_PROBLEM,
114,maybe @AmazonHelp can explain why my phone cases aren’t showing up in my orders or at my house when it took the money off my card,PAYMENT_PROBLEM,
115,@AmazonHelp VISA DEBIT RETAIL PURCHASE Amazon.ca Prime 727831280489..... #Fraud,PAYMENT_PROBLEM,
116,"@AmazonHelp Your delivery guys don't carry working card reader, change or a working phone to send link to customers for remote pay",PAYMENT_PROBLEM,
117,Just paid for one day shipping and my package still only arriving on Thursday @115821 ?,PAYMENT_PROBLEM,
118,"@AmazonHelp In response to this tweet earlier the supplier have now dispatched this order and taken payment even though I didn't want the product, could I have some assistance please.",PAYMENT_PROBLEM,
119,@115850 @30552 @173609 @18220 no cost EMI scheme on Amazon for @125607 #note8 is a trap as I was charged 1.25%,PAYMENT_PROBLEM,
120,@115850 It never been easier. 😡 . 12 hours to buy a gift card??? Finally you blocked the account and customers to fax?????? Terrible service,PAYMENT_PROBLEM,
121,@AmazonHelp Would be more appropriate if you go through my account with various complaints/call records rather than asking me. Tired of explaining the various issues multiple times. Never received an expected closure on a single one,ACCOUNT_PROBLEM,
122,@AmazonHelp hi. My account was temporarily suspended due to lack of funds but now I have the funds. How long to reactivate?,ACCOUNT_PROBLEM,
123,@AmazonHelp I have used the same email address since 1998. If this doesn't get resolved then I will simply delete my account. I am fed up with this.,ACCOUNT_PROBLEM,
124,"@AmazonHelp I have never changed my password, and it is saying it is wrong so i don’t know what is wrong.",ACCOUNT_PROBLEM,
125,"@AmazonHelp Amazon Prime. You've always had such great customer service but, all I got when disputing this (phone) was repeatedly 'you have no account I can't discuss this with you' despite me then repeating there must be an account, you've taken the £79! Hopeless. I just want my money back",ACCOUNT_PROBLEM,
126,@117795 Any way to have 'profiles' for the same prime account? I can't checkout w/ 5 dresses my wife wants sitting in my cart...,ACCOUNT_PROBLEM,
127,"@AmazonHelp  hey need u r help.
Iam unable to login to my account.
Forgot password is asking Gmail I'd which I don't know.i know mobile no.",ACCOUNT_PROBLEM,
128,@AmazonHelp but my account has canceled by Amazon. I don't have an account to log in. What should I do?,ACCOUNT_PROBLEM,
129,@115821 @AmazonHelp you're really the worst. Won't be renewing my prime account when it's up.,ACCOUNT_PROBLEM,
130,"@115851 Hey Jeff, long time customer here. Been trying to spend lots of money on your website but keep getting locked out —",ACCOUNT_PROBLEM,
131,"@AmazonHelp Complaint is raised on portal in my account , please act asap and ensure the delivery",ACCOUNT_PROBLEM,
132,"@AmazonHelp I have a family account with my partner and I have been paying for music unlimited through my bank, And he has been paying for the echo subscription without us realising for nearly 12 months",ACCOUNT_PROBLEM,
133,"@AmazonHelp cashback is not credited to my account even after 7-8 days, worst service by amazon",ACCOUNT_PROBLEM,
134,"@115821 doesn’t have customer service for locked out accounts, they just make you change your password ten times, then keep you locked out.",ACCOUNT_PROBLEM,
135,@AmazonHelp bought a Fire 7 today. Won’t allow me to register as says email address already exists. Can’t change password as it won’t accept post code on password change.,ACCOUNT_PROBLEM,
136,@117634 @AmazonHelp preordered @678744’s Oathbringer months ago but my Kindle hasn’t received it yet and it doesn’t appear on my account. Book’s page shows me this. what’s going on? https://t.co/Glyc3rItBo,ACCOUNT_PROBLEM,
137,@AmazonHelp It seems to be okay at the moment. If crashes again I will log in and reach out. Thanks for responsiveness. Appreciate it.,ACCOUNT_PROBLEM,
138,When @115821 won’t let you log in or change your password so you can’t add anything to your lists 😒😒😒,ACCOUNT_PROBLEM,
139,"@115821 incredibly frustrated customer !! Places orders last week,  promised 2 day delivery.... still nothing received.  Smh! Called in several times still not resolved.... promised credit not on account??? What gives! Need help asap pls!! Thank you",ACCOUNT_PROBLEM,
140,@AmazonHelp Read the previous tweets - I can’t log in! This has been going on for a day now!!!,ACCOUNT_PROBLEM,
141,@AmazonHelp @182234 Je confirme que je suis aussi Prime et que m'a commande n'a pas été livré dans les temps avec Colis Privé,PRIME_SERVICE,
142,"Hey @AmazonHelp, I bought Prime just so my daughter's present would arrive on time for her 4th birthday. She's 4 today, it hasn't shipped.",PRIME_SERVICE,
143,@AmazonHelp I ordered prime sign product only,PRIME_SERVICE,
144,I pay for student prime and this is what I get? @115821 @AmazonHelp Your move Amazon. https://t.co/VIn8mWbk4U,PRIME_SERVICE,
145,@AmazonHelp Received Card Not Present alert from AMEX that Prime membership was added... Not sure if this is valid or fraudulent transaction. Not sure when Prime should renew. Where can I see my Prime membership details on mobile app?,PRIME_SERVICE,
146,@AmazonHelp what's the point in a prime membership if you send items from Edinburgh to Dundee to get delivered in edinburgh? Still waiting!,PRIME_SERVICE,
147,"Today I learnt that @115830 Prime, next day delivery actually means 'the next day we feel like delivering your item.' Not the day after you place your order. #waiting #prime #spentalldayinsidefornothing",PRIME_SERVICE,
148,Just ordered an @115821 Prime/ @115833 exclusive purchase. The future of retail is amazing.,PRIME_SERVICE,
149,Don't ever order anything from @115830 they've taken 2 lots of 'prime' £7.99 then a further £1 out of my account when I've never agreed nor asked for prime. JOKERS!!,PRIME_SERVICE,
150,.@115821 all those earnings and this is the customer service my Prime membership pays for? #amazon #callcenterqualms #onhold #whereismyorder #whycantyoutellme #mayispeaktoyoursupervisor,PRIME_SERVICE,
151,@AmazonHelp I have not. The given delivery date was a week after ordering and no reason given even though it was a prime item,PRIME_SERVICE,
152,"uuuuuuuuh run that by me one more time, amazon?

Arriving 4 days after release when I have it pre-ordered? Hell, even if it wasn't pre-ordered, 4 days when I have Prime is...bad. https://t.co/0rffX9NWaj",PRIME_SERVICE,
153,"@AmazonHelp 24-48h un po' troppo considerato che mi serviva domani, avevo appena rinnovato prime apposta!",PRIME_SERVICE,
154,"Fuming, my @115821 prime parcel is LATE",PRIME_SERVICE,
155,"Ich wollte nachfragen, ob die Chance besteht ""I Am... World Tour"" wieder auf Prime zur Verfügung zu stellen. @115825",PRIME_SERVICE,
156,@AmazonHelp Date is 5th to 11th. Just odd that it wouldn't go out on prime as quickly. That's a new one for me. Stuff usually flies out the door to here,PRIME_SERVICE,
157,@115850 Its already 10days and i haven't received that. Please refund my prime membership.,PRIME_SERVICE,
158,"@115830  Cancelled my Prime membership roughly 3 months ago, just noticed i've been charged for prime for the past 2 months. Any help.",PRIME_SERVICE,
159,"@AmazonHelp No es vendido por Amazon, pero es de Amazon Prime.",PRIME_SERVICE,
160,@AmazonHelp Colis toujours non reçu.👏Prime.Il semblerait que le livreur n'a pas reçu le code alors mis sur mon compte...Et votre SAV répond à côté!,PRIME_SERVICE,
161,@AmazonHelp It’s damaged in the sense that the amazon sticker leaves an obvious sticky layer when I try to peel it off,PRODUCT_PROBLEM,
162,I think I'm done ordering games from @115821 almost ever time I do it comes in damaged or UPS will lose my package like they just did with my #XenobladeChronicles2. I'm so pissed off I was really looking forward to this game after work...,PRODUCT_PROBLEM,
163,Our parcels have arrived 3 days late slung over a neighbour's fence and boxes damaged! Disgraceful @115830 @AmazonHelp https://t.co/PwvTbpLzXL,PRODUCT_PROBLEM,
164,"@AmazonHelp is there a completely different returns policy for items in Warehouse Deals?

Also when the description says this: ""Item in original packaging. Packaging will have cosmetic damage.""

- does it mean the products branded packaging or the outer cardboard box?",PRODUCT_PROBLEM,
165,"@AmazonHelp 3-5 misses/delays and 1 damaged in transit in the last 2 weeks. Regardless of transit times, the “want it by...” dates are woefully incorrect. In my case 2-5+ business days after the “want it by” date (these estimates included Sat/sun deliveries). https://t.co/1EwFQ6qpP1",PRODUCT_PROBLEM,
166,"@AmazonHelp @115821 Adding multiple 3rd party auth keys is broken. None of the new keys I auth to devices work for 3rd party auth, only the original key. This is really frustrating and needs fixed.",PRODUCT_PROBLEM,
167,@115850 i received a wrong product now facing issue with pick up. what kind of service is this ? pathetic customer support,PRODUCT_PROBLEM,
168,"Got the signed copy today .... Very excited .... @3709 thnx @115850 ""the boy with a broken heart"" https://t.co/a7vX1k2Wjr",PRODUCT_PROBLEM,
169,@AmazonHelp Still waiting 4 ur reply 2 my email. U can't provide a quality service. Selling defective piece during festivals instead of genuine mobiles,PRODUCT_PROBLEM,
170,"@115850 @115851 Support Executives lie &amp; in order to avoid a replacement. Policy says Camera can be Replaced if defective, but they say ""No"" #frauds #cheats",PRODUCT_PROBLEM,
171,@AmazonHelp Amazon delivered wrong product.. I ordered a black berry phone and I get a Sony wireless headset... https://t.co/oGI2mrMzzR,PRODUCT_PROBLEM,
172,I have spend 31k on a product and i get a defective one? @115850 @AmazonHelp &amp; no replacement for it? https://t.co/Rr1d7IHS8P,PRODUCT_PROBLEM,
173,When you finally receive things from #Amazon that you've been waiting on and they are such HORRIBLE quality. Ugh. I'm so upset. 😭,PRODUCT_PROBLEM,
174,@115850 ordered a bluetooth device got bricks instead.ordered a Timex watch got defective piece hope u guys bleed acid from each sebaceous pore,PRODUCT_PROBLEM,
175,#amazonIN i buy a Nokia2 device from amazon and got this item damage. and complain regarding back but #amazonIN courrier prtnr never pick this 5days gone Why ? Order id 407-0621642-1134759 @115850,PRODUCT_PROBLEM,
176,"@115850 I purchased a product from amazon but amazon delivered me a wrong product.Amazon Cheated me.
Order No. 407-3296572-6529960",PRODUCT_PROBLEM,
177,"@115850 @AmazonHelp once again amazon disappointed me.he send me defective product and items was full of dust. i will suggest do not buy any items 
from amazon.",PRODUCT_PROBLEM,
178,@AmazonHelp Is that a US-only link you have sent me? I'm in the UK so it doesn't work,PRODUCT_PROBLEM,
179,"My third year in a row ordering all my holiday presents from @115821 - It's getting worse each year. Orders always screwed up, wrong items sent, damaged, etc.  It's my last year ordering anything from Amazon. I will be going back to traditional shopping at the store.",PRODUCT_PROBLEM,
180,@AmazonHelp Last two months a slew of products damaged inside pristine shipping boxes. Some with sharp puncture marks all the way through.,PRODUCT_PROBLEM,
181,@AmazonHelp help. Just ordered a book but ordered the kindle option and paid...  How do I cancel it? I don't want the kindle copy,DIGITAL_SERVICE,
182,@115850 did u just started an Indian app and never look back at it? I mean see the prices it's rip off plain sight...!,DIGITAL_SERVICE,
183,@119625 when supernatural season 13 will be available on prime video,DIGITAL_SERVICE,
184,@115825 äh warum gibt's bei #thegirlfriendexperience Staffel 2 denn nur Folge 1 und 8 in eurer app. War doch ab heute oder? 🙊,DIGITAL_SERVICE,
185,"@AmazonHelp Also, while I've got you, I can't get my fire stick to connect to my echo dot - theres no option for it in the app...",DIGITAL_SERVICE,
186,@115833 how come the Alexa app doesn’t recognise my mobile number when I try and register it for messaging? Is there a bug?,DIGITAL_SERVICE,
187,@AmazonHelp No use from your link or Amazon app support call or chat. Please see the order details.just telling us to wait.Not updating the status also. https://t.co/Uwp0eOu6Ia,DIGITAL_SERVICE,
188,"@117634 Hey, any reason why my app isn't working since it's last update?",DIGITAL_SERVICE,
189,"Dear @115821, please add a ""sort by read/unread"" feature to the kindle interface, so I can float my unreads to the top of my library.",DIGITAL_SERVICE,
190,"@AmazonHelp Oui en effet, mais au Etats-Unis c’est possible sur liseuse, quand est-ce que ce sera le cas en France :?
Voici le genre d’app disponible :
https://t.co/Nh0zmBaDvZ",DIGITAL_SERVICE,
191,fire TV stick（Amazonプライム会員）持ってると休日は外出しない日が習慣になってくる,DIGITAL_SERVICE,
192,"Thanks to @115850 sale, these DVD's added to the home video collection. https://t.co/42YdOqbCJ5",DIGITAL_SERVICE,
193,@655522 @AmazonHelp I couldn't find it on Amazon Video app on my Roku 3. I can choose it on my watchlist on computer. Not on watchlist on Roku app.,DIGITAL_SERVICE,
194,"@123813 Hola, ya tienen app para Apple TV?",DIGITAL_SERVICE,
195,@AmazonHelp I did. The only solution I got was a discount on a new device. Absolutely pathetic no concern abt service/repair #Kindle (1/2),DIGITAL_SERVICE,
196,"@115821 please don’t email me with offers that don’t apply to me. And why won’t you offer me $10 to use your app, I guess the thousands of $$ I have spent are not good enough. Amazon sucks",DIGITAL_SERVICE,
197,@AmazonHelp The Echo DOT is just saying that it cant play music. Playstation 4 Prime-Video-App says connection issue - using German Amazon.,DIGITAL_SERVICE,
198,@AmazonHelp where can I submit feedback for iOS app? I thought there used to be an email address listed in the app but I don’t see it now.,DIGITAL_SERVICE,
199,@AmazonHelp i cant order the basic edition fire tv stick to australia,DIGITAL_SERVICE,
